"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"2330","台積電","2375","1.06","15079","0.06","0.45","65.81","47","552","2593.24","357"
"2408","南亞科","517","7.48","86039","2.49","0.5","54.31","186","232","345.02","443"
"2327","國巨*","562","-2.43","41060","7.98","-0.25","43.21","47","58","51.47","231"
"3037","欣興","1140","0.88","15600","0.95","0.96","53.29","96","77","164.3","176"
"2454","聯發科","3700","-3.77","11152","0.7","-1.13","36.66","86","15","160.39","417"
"2308","台達電","1745","-1.13","8947","0.34","0.63","37.38","37","63","259.75","155"
"3008","大立光","5515","-0.63","2782","2.13","-0.45","48.56","11","2","13.08","154"
"2344","華邦電","176.5","5.06","148404","3.29","0.06","49.23","202","1143","451.09","262"
"2383","台光電","5985","1.79","2377","0.66","0.98","51.45","30","4","35.83","141"
"3189","景碩","851","0.24","16530","3.14","0.72","47.45","6","30","52.69","140"
"8046","南電","1195","1.27","9487","1.47","0.1","50.66","148","24","64.62","113"
"3653","健策","5600","2.56","1798","1.22","1.44","51.72","1","49","14.72","99.3"
"3081","聯亞","2780","3.73","4519","4.44","1.3","52.22","1","4","10.18","124"
"4958","臻鼎-KY","463","1.31","22171","1.98","1.08","42.39","2","1","111.73","102"
"2492","華新科","272.5","-8.56","44442","9.16","-3.15","37.75","287","41","48.52","125"
"1303","南亞","186","-0.8","69154","0.87","-1.68","43.58","226","168","793.08","131"
"3443","創意","5630","6.33","2532","1.89","2.87","56.83","1","2","13.4","139"
"3711","日月光投控","590","0.34","20050","0.45","1.7","41.44","8","45","448.04","116"
"2303","聯電","115.5","0","99957","0.8","0.93","29.29","383","2314","1257.01","114"
"3017","奇鋐","2985","-3.55","2966","0.75","-0.3","39.38","14","27","39.44","88.8"
"6770","力積電","67.3","1.05","164367","3.49","-0.41","42.92","114","1070","470.91","111"
"8039","台虹","283","4.24","43190","16.37","-0.39","58.43","15","47","26.38","123"
"3450","聯鈞","553","-2.47","12660","8.69","-1.56","46.02","83","8","14.57","71.1"
"6488","環球晶","993","1.02","8902","1.86","1.02","44.48","43","2","47.81","87.5"
"2368","金像電","1025","-1.44","7561","1.43","-0.48","49.37","107","23","52.73","77.9"
"3481","群創","46","-1.6","214982","2.69","-0.5","35.24","1032","552","798.92","99.4"
"2301","光寶科","267","-2.38","25311","1.09","-1.54","47.94","68","6","231.61","68.6"
"8299","群聯","1995","1.53","3715","1.68","-0.94","44.66","10","9","22.13","74.8"
"2317","鴻海","246.5","0.61","25703","0.18","0.02","39.7","326","548","1407.57","63.3"
"6274","台燿","1575","5","4500","1.5","1.75","50.61","3","21","29.95","69.7"
"6182","合晶","109.5","-0.45","56477","8.89","-0.54","43.88","614","541","63.54","62.2"
"2345","智邦","2105","-0.94","2302","0.41","0.24","49.3","26","8","56.11","48.3"
"6669","緯穎","6325","-0.78","818","0.44","-0.22","52.75","6","1","18.73","51.9"
"5274","信驊","15750","-0.51","233","0.56","1.08","48","1","2","4.16","36.3"
"2059","川湖","13925","-1.21","542","0.57","-0.76","50.68","1","1","9.53","76.1"
"2360","致茂","2140","0.94","1259","0.3","0.5","55.91","2","5","42.52","26.8"
"3661","世芯-KY","3750","3.31","1803","2.09","0.18","49.43","1","5","8.63","67.5"
"2609","陽明","60.3","2.2","151568","4.34","0.85","57.9","116","630","349.21","90.6"
"3105","穩懋","379","4.26","15615","3.68","2.98","52.38","12","45","42.39","57.5"
"2481","強茂","138.5","1.47","32385","8.48","-1.37","44.63","159","133","38.21","45.5"
"6223","旺矽","5650","7.52","883","0.9","2.56","52.18","2","2","9.8","48.6"
"8358","金居","413.5","0.73","18281","7.24","-0.59","42.81","45","27","25.26","76"
"6187","萬潤","1265","-3.07","3110","3.16","-0.58","47.28","44","15","9.83","39.6"
"2455","全新","412","3.91","16281","8.68","1.88","45.67","2","14","18.75","65.8"
"3167","大量","762","9.96","9748","10.78","4.62","59.94","85","0","9.04","71"
"2337","旺宏","122","2.52","48316","2.44","0.3","47.43","263","138","198.32","58.8"
"2382","廣達","327","-1.21","11902","0.29","-0.11","36.98","13","140","410.76","39"
"3231","緯創","180","-1.1","24860","0.78","0.05","44.77","152","287","318.01","44.7"
"2603","長榮","246","2.29","30394","1.4","0.59","52.64","171","287","216.5","74.3"
"3665","貿聯-KY","2250","2.27","1393","0.7","1.04","50.37","11","32","19.96","31"
"2615","萬海","113.5","6.57","75713","2.7","3.59","64.18","369","331","280.61","83"
"2359","所羅門","158","-1.86","17264","10.07","-1.34","47.46","23","9","17.15","27.6"
"5351","鈺創","118","-6.72","29029","8.83","-2.2","43.18","658","42","32.88","35"
"2634","漢翔","72.3","5.39","79273","8.42","-1.4","59.76","93","2","94.19","58.1"
"5425","台半","90.3","-1.63","27915","10.59","-1.17","44.19","3","42","26.35","25.5"
"1815","富喬","107","9.18","132860","22.69","0.81","75.08","630","5345","58.55","141"
"2884","玉山金","37.35","-1.19","30834","0.19","0.03","52.27","552","161","1619.2","11.5"
"3042","晶技","188.5","1.34","34568","10.08","1.14","50.16","142","39","34.3","64.4"
"3090","日電貿","172","-3.1","22292","7.75","-1.66","48.38","33","54","28.76","39"
"6446","藥華藥","1375","-1.79","2415","0.57","-1.57","42.3","86","3","42.24","33.7"
"2324","仁寶","38.5","-2.04","66452","1.51","-1.28","38.42","362","64","440.71","25.9"
"2449","京元電子","235","0","11480","0.89","0.09","38.86","75","107","128.39","27"
"3374","精材","303.5","1.51","27857","10.26","-2.99","54.85","56","51","27.14","87.2"
"2409","友達","25.8","-1.34","100175","1.33","-0.46","38.57","275","79","754.71","26"
"6531","愛普*","882","5.38","4466","5.47","0.43","54.58","5","6","8.16","39.2"
"6805","富世達","1850","3.35","1610","2.35","1.44","63.95","19","5","6.86","29.4"
"3406","玉晶光","650","-1.07","2677","2.38","0.27","39.03","26","12","11.27","17.4"
"5289","宜鼎","1490","-1.65","1946","2.02","-1.1","38.04","22","3","9.64","29.3"
"2395","研華","673","-3.03","3471","0.4","-0.91","47.74","108","4","86.91","23.6"
"5483","中美晶","186.5","5.67","16998","2.65","2.6","60.93","49","423","64.12","30.9"
"5347","世界","153.5","1.32","9032","0.48","0.86","40.47","40","341","187.85","13.7"
"2464","盟立","180.5","-0.55","12375","5.66","-0.93","47.62","3","72","21.85","22.5"
"6442","光聖","1555","1.63","2116","2.59","0.1","47.88","3","5","8.18","32.9"
"3045","台灣大","115","1.32","18431","0.5","0.74","82.25","115","3816","372.34","21"
"6451","訊芯-KY","437","5.56","6328","5.52","1.87","51.87","9","14","11.47","27.1"
"7769","鴻勁","6455","0.16","390","0.22","1.06","37.56","1","1","17.99","24.9"
"2379","瑞昱","703","-4.74","4840","0.94","-0.47","47","3","25","51.55","34.2"
"2885","元大金","62.1","-0.64","25085","0.18","-0.03","39.15","27","374","1386.44","15.6"
"6147","頎邦","163.5","1.24","14878","2","0.33","43.51","29","150","74.46","24.2"
"2313","華通","217.5","4.82","34630","2.81","-0.57","59.12","376","73","123.38","75.8"
"2357","華碩","913","-1.3","3098","0.42","-0.6","35.31","8","16","74.28","28.5"
"3532","台勝科","340","-4.63","8866","2.29","-1.43","36.34","28","3","38.78","30.6"
"2605","新興","36.4","-0.95","29202","4.99","-0.44","33.93","49","51","58.54","10.7"
"6239","力成","268.5","2.29","7110","0.94","1","52.07","14","40","75.91","18.9"
"2887","台新新光金","35.95","-1.24","46301","0.18","-0.11","53.99","462","141","2511.51","16.7"
"3533","嘉澤","1610","-0.62","1453","1.29","0.57","47.99","16","5","11.25","23.3"
"3529","力旺","2210","-2.21","525","0.7","-1.3","41.83","10","7","7.47","11.8"
"2049","上銀","366.5","-0.14","11610","3.28","-3.29","42.85","116","23","35.38","44"
"3034","聯詠","527","-1.31","4101","0.67","-0.43","38.24","13","17","60.85","21.7"
"2486","一詮","251","6.81","16514","6.86","4.37","56.03","33","31","24.07","39.7"
"3260","威剛","401","1.52","6363","1.9","0.75","53.05","71","44","33.45","25.3"
"4971","IET-KY","580","9.85","4969","10.53","4.79","64.78","103","0","4.72","27.5"
"2376","技嘉","344","-1.29","5696","0.85","-0.35","44.68","36","15","66.99","19.7"
"3044","健鼎","485.5","1.04","2456","0.47","0.61","57.36","4","12","52.56","11.9"
"8996","高力","1135","0","2389","2.56","0.81","50","38","7","9.35","26.9"
"2891","中信金","63.4","-2.31","58908","0.3","0.54","44.61","62","19","1967.59","37.1"
"8261","富鼎","179.5","-2.18","6485","5.45","-1.07","42.23","154","33","11.89","11.8"
"6672","騰輝電子-KY","287.5","1.23","5090","6.19","0.6","45.88","27","85","8.22","14.5"
"3006","晶豪科","250.5","2.04","8964","3.01","0.76","51.67","7","117","29.81","22.3"
"6515","穎崴","6380","0.16","148","0.41","0.02","58.5","1","1","3.64","9.44"
"8021","尖點","408.5","3.81","4870","3.31","-0.54","58.18","21","31","14.72","20"
"8210","勤誠","964","-2.13","1314","1.05","-0.84","24.77","6","8","12.56","12.8"
